Country,TotalPrice,RevenueShare
United Kingdom,9001744.094,84.58607751590557
Netherlands,285446.34,2.682234241469377
EIRE,283140.52,2.6605672992389566
Germany,228678.4,2.148806794175153
France,209625.37,1.969772480861683
Australia,138453.81,1.300999515509273
Spain,61558.56,0.5784431409684465
Switzerland,57067.6,0.5362432420695176
Belgium,41196.340000000004,0.38710685087507013
Sweden,38367.83,0.36052838301193846
Japan,37416.37,0.351587863433413
Norway,36165.44,0.3398333344396928
Portugal,33683.05,0.31650722887925314
Finland,22546.08,0.21185721907279628
Singapore,21279.29,0.19995365949395916
Channel Islands,20440.54,0.1920722343195028
Denmark,18955.34,0.17811635632355327
Italy,17483.24,0.16428357420812287
Hong Kong,15483.0,0.14548805481503235
Cyprus,13502.85,0.12688131376084477
Austria,10198.68,0.09583324387269743
Israel,8129.41,0.07638907496569607
Poland,7334.65,0.06892100763734917
Greece,4760.52,0.044732855047991855
Unspecified,4740.94,0.04454886899146027
Iceland,4310.0,0.040499484353987564
Canada,3666.38,0.03445162400133943
USA,3580.39,0.03364360760700082
Malta,2725.59,0.0256113664873283
United Arab Emirates,1902.28,0.017875025312506603
Lebanon,1693.88,0.015916767182722148
Lithuania,1661.06,0.015608369717177398
European Community,1300.25,0.012217970888926295
Brazil,1143.6,0.01074598847035271
RSA,1002.3100000000001,0.009418338320845772
Czech Republic,826.74,0.007768571622927071
Bahrain,754.14,0.007086376132416748
Saudi Arabia,145.92000000000002,0.0013711565561331475
