CustomerID,TotalRevenue,TotalQuantity,InvoiceCount,FirstPurchaseDate,LastPurchaseDate,AverageOrderValue
12346,77183.6,74215,1,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6
12347,4310.0,2458,7,2010-12-07 14:57:00,2011-12-07 15:52:00,615.7142857142857
12348,1797.24,2341,4,2010-12-16 19:09:00,2011-09-25 13:13:00,449.31
12349,1757.55,631,1,2011-11-21 09:51:00,2011-11-21 09:51:00,1757.55
12350,334.40000000000003,197,1,2011-02-02 16:01:00,2011-02-02 16:01:00,334.40000000000003
12352,2506.04,536,8,2011-02-16 12:33:00,2011-11-03 14:37:00,313.255
12353,89.0,20,1,2011-05-19 17:47:00,2011-05-19 17:47:00,89.0
12354,1079.4,530,1,2011-04-21 13:11:00,2011-04-21 13:11:00,1079.4
12355,459.40000000000003,240,1,2011-05-09 13:49:00,2011-05-09 13:49:00,459.40000000000003
12356,2811.43,1591,3,2011-01-18 09:50:00,2011-11-17 08:40:00,937.1433333333333
12357,6207.67,2708,1,2011-11-06 16:07:00,2011-11-06 16:07:00,6207.67
12358,1168.06,248,2,2011-07-12 10:04:00,2011-12-08 10:26:00,584.03
12359,6310.03,1609,4,2011-01-12 12:43:00,2011-10-13 12:47:00,1577.5075
12360,2662.06,1165,3,2011-05-23 09:43:00,2011-10-18 15:22:00,887.3533333333334
12361,189.9,91,1,2011-02-25 13:51:00,2011-02-25 13:51:00,189.9
12362,5226.2300000000005,2229,10,2011-02-17 10:30:00,2011-12-06 15:40:00,522.623
12363,552.0,408,2,2011-04-11 13:29:00,2011-08-22 10:18:00,276.0
12364,1313.1,1506,4,2011-08-19 15:24:00,2011-12-02 10:22:00,328.275
12365,641.38,174,2,2011-02-21 13:51:00,2011-02-21 14:04:00,320.69
12367,168.9,173,1,2011-12-05 16:48:00,2011-12-05 16:48:00,168.9
12370,3541.94,2352,4,2010-12-14 12:58:00,2011-10-19 14:51:00,885.485
12371,1887.96,591,2,2011-10-11 10:43:00,2011-10-26 10:16:00,943.98
12372,1298.04,794,3,2011-02-16 12:46:00,2011-09-29 12:12:00,432.68
12373,364.6,197,1,2011-02-01 13:10:00,2011-02-01 13:10:00,364.6
12374,742.9300000000001,342,1,2011-11-14 15:37:00,2011-11-14 15:37:00,742.9300000000001
12375,457.5,178,2,2011-09-02 14:23:00,2011-11-29 10:36:00,228.75
12377,1628.1200000000001,944,2,2010-12-20 09:37:00,2011-01-28 15:45:00,814.0600000000001
12378,4008.62,2529,1,2011-08-02 10:34:00,2011-08-02 10:34:00,4008.62
12379,852.24,407,2,2011-06-22 16:32:00,2011-09-19 10:09:00,426.12
12380,2724.81,1127,4,2011-06-07 09:49:00,2011-11-18 11:27:00,681.2025
12381,1845.31,808,5,2011-08-12 09:57:00,2011-12-05 12:44:00,369.062
12383,1850.56,1532,5,2010-12-22 14:28:00,2011-06-08 08:02:00,370.11199999999997
12384,585.27,126,2,2011-08-10 11:23:00,2011-11-11 08:39:00,292.635
12386,401.9,354,2,2010-12-08 09:53:00,2011-01-06 12:37:00,200.95
12388,2780.6600000000003,1462,6,2011-01-17 11:12:00,2011-11-24 12:30:00,463.4433333333334
12390,549.84,353,1,2011-09-21 09:33:00,2011-09-21 09:33:00,549.84
12391,439.66,293,1,2011-11-18 12:07:00,2011-11-18 12:07:00,439.66
12393,1582.6000000000001,816,4,2011-01-11 09:47:00,2011-09-28 15:41:00,395.65000000000003
12394,1272.48,819,2,2011-05-06 14:01:00,2011-10-07 08:08:00,636.24
12395,3018.63,2118,12,2010-12-03 16:35:00,2011-11-20 15:21:00,251.5525
12397,2409.9,1263,2,2011-07-27 14:21:00,2011-11-04 09:52:00,1204.95
12398,1635.6599999999999,1394,1,2011-10-25 10:27:00,2011-10-25 10:27:00,1635.6599999999999
12399,1108.65,1178,4,2011-03-23 09:42:00,2011-08-12 13:15:00,277.1625
12401,84.3,11,1,2011-02-09 13:50:00,2011-02-09 13:50:00,84.3
12402,225.60000000000002,94,1,2011-01-20 13:49:00,2011-01-20 13:49:00,225.60000000000002
12403,427.7,96,1,2011-10-21 10:51:00,2011-10-21 10:51:00,427.7
12405,1710.39,857,1,2011-07-14 08:52:00,2011-07-14 08:52:00,1710.39
12406,3415.3,1818,2,2011-06-09 10:23:00,2011-11-17 19:22:00,1707.65
12407,1708.12,1416,5,2011-03-20 13:21:00,2011-10-21 10:11:00,341.62399999999997
12408,2888.55,1409,5,2011-03-24 14:46:00,2011-11-07 12:27:00,577.71
12409,11072.67,5551,3,2011-06-10 12:19:00,2011-09-22 10:38:00,3690.89
12410,693.33,211,2,2011-02-04 10:38:00,2011-02-04 10:39:00,346.665
12412,1226.88,829,3,2011-06-23 13:51:00,2011-09-26 10:16:00,408.96000000000004
12413,758.1,286,3,2011-01-06 16:12:00,2011-10-04 09:00:00,252.70000000000002
12414,562.4100000000001,300,3,2011-02-02 14:51:00,2011-05-06 14:51:00,187.47000000000003
12415,124914.53,77374,21,2011-01-06 11:12:00,2011-11-15 14:22:00,5948.310952380953
12417,3649.1,1552,9,2010-12-17 11:51:00,2011-12-06 14:52:00,405.4555555555555
12418,668.58,407,1,2011-08-19 11:08:00,2011-08-19 11:08:00,668.58
12420,600.39,345,1,2011-10-07 08:55:00,2011-10-07 08:55:00,600.39
12421,807.04,484,4,2011-01-24 15:09:00,2011-11-24 09:07:00,201.76
12422,803.5600000000001,370,3,2011-01-19 09:13:00,2011-09-05 09:48:00,267.85333333333335
12423,1859.31,1339,8,2010-12-21 10:54:00,2011-12-09 10:10:00,232.41375
12424,1760.96,740,2,2011-06-30 12:06:00,2011-06-30 12:06:00,880.48
12425,777.2,496,1,2011-09-22 17:31:00,2011-09-22 17:31:00,777.2
12426,582.73,258,1,2011-05-29 12:26:00,2011-05-29 12:26:00,582.73
12427,825.8000000000001,533,3,2010-12-03 10:44:00,2011-11-18 08:56:00,275.2666666666667
12428,7956.46,3536,9,2011-03-01 09:33:00,2011-11-14 08:22:00,884.0511111111111
12429,3750.4,1557,4,2010-12-09 12:05:00,2011-11-30 17:22:00,937.6
12430,256.4,117,1,2011-10-27 15:09:00,2011-10-27 15:09:00,256.4
12431,6419.95,2896,15,2010-12-01 10:03:00,2011-11-04 11:55:00,427.99666666666667
12432,5059.32,1801,5,2011-06-20 13:27:00,2011-10-28 11:43:00,1011.8639999999999
12433,13375.87,11071,7,2010-12-01 13:24:00,2011-12-09 10:02:00,1910.8385714285716
12434,806.14,394,2,2011-03-24 13:05:00,2011-09-16 12:38:00,403.07
12435,7829.89,2055,2,2011-03-17 07:40:00,2011-09-21 09:06:00,3914.945
12436,509.01,211,1,2011-09-01 12:09:00,2011-09-01 12:09:00,509.01
12437,4951.41,2922,18,2011-01-12 14:13:00,2011-12-08 11:35:00,275.0783333333333
12438,2906.85,1180,2,2011-07-22 13:29:00,2011-11-25 13:28:00,1453.425
12441,173.55,121,1,2010-12-08 10:45:00,2010-12-08 10:45:00,173.55
12442,172.06,182,1,2011-12-06 14:22:00,2011-12-06 14:22:00,172.06
12444,5005.46,1153,5,2011-06-21 14:00:00,2011-11-18 13:23:00,1001.092
12445,133.4,62,1,2011-11-17 18:43:00,2011-11-17 18:43:00,133.4
12446,1002.3100000000001,351,1,2011-10-13 12:50:00,2011-10-13 12:50:00,1002.3100000000001
12447,476.49,190,1,2011-04-10 13:25:00,2011-04-10 13:25:00,476.49
12448,449.45,243,1,2011-10-26 13:46:00,2011-10-26 13:46:00,449.45
12449,4067.29,1553,4,2011-06-05 15:37:00,2011-11-17 13:46:00,1016.8225
12450,197.88,128,2,2011-06-19 14:36:00,2011-07-06 14:41:00,98.94
12451,9035.52,6575,5,2011-01-19 09:05:00,2011-11-29 08:40:00,1807.104
12452,430.57000000000005,185,2,2011-11-23 08:05:00,2011-11-23 10:28:00,215.28500000000003
12453,707.09,473,1,2011-07-28 14:08:00,2011-07-28 14:08:00,707.09
12454,3528.34,1006,1,2011-10-14 17:13:00,2011-10-14 17:13:00,3528.34
12455,2466.86,2089,6,2011-02-16 09:56:00,2011-09-27 15:31:00,411.1433333333334
12456,3181.04,1633,3,2011-03-30 09:12:00,2011-10-26 14:41:00,1060.3466666666666
12457,2363.23,843,7,2011-04-14 18:57:00,2011-10-04 13:13:00,337.6042857142857
12458,947.4,506,2,2011-02-28 10:55:00,2011-09-29 15:25:00,473.7
12461,826.88,287,2,2011-07-08 10:23:00,2011-09-06 16:57:00,413.44
12462,1189.59,536,2,2011-02-09 14:44:00,2011-11-21 09:11:00,594.795
12463,1344.78,776,4,2011-04-12 12:47:00,2011-10-17 13:44:00,336.195
12464,1212.05,112,8,2011-02-03 13:30:00,2011-11-29 13:33:00,151.50625
12465,742.19,479,2,2011-06-23 13:37:00,2011-11-22 16:34:00,371.095
12468,729.54,366,2,2011-01-27 13:29:00,2011-06-05 11:36:00,364.77
12471,19788.65,8200,30,2010-12-10 09:35:00,2011-12-07 15:43:00,659.6216666666667
12472,6572.11,4148,7,2010-12-05 14:19:00,2011-11-07 14:01:00,938.8728571428571
12473,3928.05,2414,5,2011-06-01 10:15:00,2011-11-10 13:46:00,785.61
12474,7324.09,4833,18,2011-01-14 10:06:00,2011-11-22 14:39:00,406.8938888888889
12475,723.38,535,1,2011-10-17 10:10:00,2011-10-17 10:10:00,723.38
12476,6816.42,2408,11,2010-12-13 14:39:00,2011-11-24 12:40:00,619.6745454545454
12477,13219.74,3653,6,2011-02-11 12:45:00,2011-11-17 09:51:00,2203.29
12478,680.99,236,1,2011-12-06 09:56:00,2011-12-06 09:56:00,680.99
12479,527.2,385,1,2011-11-28 13:26:00,2011-11-28 13:26:00,527.2
12480,3281.63,1707,4,2011-01-07 15:27:00,2011-11-11 14:52:00,820.4075
12481,5579.82,3294,10,2010-12-09 10:13:00,2011-11-17 08:29:00,557.982
12483,2484.98,1110,8,2011-01-04 14:20:00,2011-11-22 17:02:00,310.6225
12484,4527.32,2187,6,2011-01-07 14:04:00,2011-11-07 11:37:00,754.5533333333333
12488,1298.66,529,3,2011-09-25 10:34:00,2011-11-30 08:50:00,432.8866666666667
12489,334.93,105,1,2011-01-07 13:13:00,2011-01-07 13:13:00,334.93
12490,5417.93,3064,10,2011-01-14 09:13:00,2011-12-04 16:07:00,541.793
12491,460.40000000000003,260,1,2011-11-01 12:18:00,2011-11-01 12:18:00,460.40000000000003
12492,263.21000000000004,192,2,2011-08-26 14:51:00,2011-10-07 15:15:00,131.60500000000002
12493,433.74,207,2,2011-05-26 14:53:00,2011-06-27 10:17:00,216.87
12494,1246.1,707,7,2010-12-09 11:31:00,2011-11-24 09:34:00,178.0142857142857
12497,1043.1,1236,1,2011-09-19 12:29:00,2011-09-19 12:29:00,1043.1
12498,403.70000000000005,159,3,2011-10-13 09:30:00,2011-11-18 12:53:00,134.5666666666667
12500,4257.82,2678,11,2011-01-10 09:48:00,2011-11-16 16:20:00,387.07454545454544
12501,2169.39,1783,1,2011-01-07 12:28:00,2011-01-07 12:28:00,2169.39
12502,3723.87,820,5,2011-02-03 10:41:00,2011-09-05 11:52:00,744.774
12504,482.04999999999995,90,2,2011-11-09 14:56:00,2011-11-21 16:02:00,241.02499999999998
12506,73.5,23,1,2011-04-21 08:54:00,2011-04-21 08:54:00,73.5
12507,1304.81,894,3,2011-02-14 09:24:00,2011-07-28 17:09:00,434.93666666666667
12508,397.88,271,2,2011-11-10 16:27:00,2011-11-13 15:37:00,198.94
12509,176.5,55,1,2011-02-28 14:45:00,2011-02-28 14:45:00,176.5
12510,982.5699999999999,353,2,2011-01-18 14:04:00,2011-07-20 10:15:00,491.28499999999997
12512,132.18,96,2,2011-10-04 14:53:00,2011-10-04 14:55:00,66.09
12513,612.29,462,1,2011-08-19 10:51:00,2011-08-19 10:51:00,612.29
12514,1017.6800000000001,440,1,2011-03-17 16:38:00,2011-03-17 16:38:00,1017.6800000000001
12515,383.7,131,1,2010-12-21 15:43:00,2010-12-21 15:43:00,383.7
12516,1312.06,875,2,2011-06-12 11:37:00,2011-09-23 09:13:00,656.03
12517,2481.6,1361,5,2011-06-02 15:13:00,2011-11-11 14:04:00,496.32
