InvoiceNo,InvoiceRevenue,InvoiceQuantity,ProductLines
536365,139.12,40,7
536366,22.2,12,2
536367,278.73,83,12
536368,70.05,15,4
536369,17.85,3,1
536370,855.86,449,20
536371,204.0,80,1
536372,22.2,12,2
536373,259.86,88,16
536374,350.4,32,1
536375,259.86,88,16
536376,328.8,112,2
536377,22.2,12,2
536378,444.98,454,19
536380,34.8,24,1
536381,449.98,198,35
536382,430.6,134,12
536384,489.6,190,13
536385,130.85,53,7
536386,508.20000000000005,236,3
536387,3193.92,1440,5
536388,226.14000000000001,108,14
536389,358.25,107,14
536390,1825.74,1568,24
536392,318.14,103,10
536393,79.6,8,1
536394,1024.68,544,11
536395,507.88,260,14
536396,376.36,102,18
536397,279.0,60,2
536398,426.56,150,17
536399,22.2,12,2
536400,17.4,12,1
536401,354.23,124,64
536402,357.0,116,3
536403,192.60000000000002,97,2
536404,471.3,438,28
536405,326.4,128,1
536406,353.14,96,17
536407,22.2,12,2
536408,783.11,558,48
536409,232.03,169,54
536412,453.46,197,68
536415,390.79,228,59
536416,225.7,110,6
536420,233.45,111,14
536423,303.9,78,9
536425,362.45,137,17
536437,842.12,1004,6
536446,430.99,323,31
536460,295.54,158,14
536463,17.4,12,1
536464,265.1,151,81
536466,42.9,18,2
536477,2474.7400000000002,1070,14
536488,163.34,71,34
536500,223.9,102,15
536502,95.28999999999999,39,5
536508,155.52,216,2
536514,295.5,118,5
536520,313.49,197,71
536521,4.95,1,1
536522,188.56,84,52
536523,203.3,112,12
536524,70.80000000000001,24,4
536525,136.24,29,13
536526,301.24,94,9
536527,261.48,157,15
536528,274.93,113,48
536529,161.0,38,9
536530,200.5,71,22
536531,939.59,391,22
536532,1919.14,1852,73
536533,156.1,80,6
536534,115.65,51,5
536535,194.85,71,12
536536,165.04999999999998,95,3
536537,369.5,138,11
536538,255.0,146,31
536539,487.75,160,27
536540,540.38,231,20
536541,15.0,12,1
536542,787.4,392,16
536544,5521.14,1208,527
536551,134.11,84,31
536555,2.9699999999999998,2,2
536556,101.55,71,8
536557,532.43,198,64
536558,99.75,5,1
536559,204.95,117,8
536560,799.4,256,13
536561,322.40000000000003,140,15
536562,308.65000000000003,99,18
536563,172.54,165,9
536564,51.4,12,2
536565,6.7,2,2
536566,116.25,93,6
536567,251.40000000000003,132,7
536568,5.04,12,1
536569,351.75,153,65
536570,304.34000000000003,86,5
536571,294.62,284,18
536572,442.34999999999997,301,21
536573,143.12,136,4
536574,17.85,3,1
536575,1552.98,858,8
536576,2558.42,1122,16
536577,497.0,388,4
536578,279.6,104,8
536579,315.96000000000004,276,2
536580,97.2,66,6
536581,330.0,200,1
536582,304.04,184,17
536583,198.0,120,1
536584,1132.8000000000002,384,1
536585,19.9,2,1
536586,344.2,44,7
536587,311.81,313,22
536588,277.05,103,11
536590,205.86,74,14
536591,198.32,93,40
536592,6915.65,1478,592
536593,81.75,19,5
536594,79.5,34,5
536595,349.15000000000003,108,11
536596,38.09,9,6
536597,102.78999999999999,71,28
536598,160.6,76,4
536599,306.4,80,6
536600,251.62,56,12
536601,22.2,12,2
536602,163.76,64,12
536603,22.2,12,2
536604,184.5,114,9
536605,272.65000000000003,107,15
536607,303.97,93,18
536608,38.1,30,3
536609,244.46,88,16
536610,22.2,12,2
536611,259.65000000000003,153,14
536612,206.76,82,15
536613,208.97,197,17
536614,22.2,12,2
536615,286.92,108,12
536616,244.08,72,1
536617,1095.1200000000001,644,11
536618,780.12,600,21
536619,97.2,48,2
536620,485.25,741,23
536621,350.06,298,10
536623,768.38,666,48
536624,610.64,228,22
536626,12.6,6,1
536627,306.2,64,14
536628,230.56,86,16
536629,22.2,12,2
536630,244.46,88,16
536631,22.2,12,2
536632,312.8,170,21
536633,204.15,105,18
536634,193.78,159,14
536635,572.38,246,20
536636,106.2,36,1
536637,219.66,157,59
536638,1056.63,619,63
536639,288.5,106,16
536640,45.85,11,11
536641,4.25,1,1
536643,223.7,74,27
536663,299.40000000000003,156,6
536667,362.5,214,16
536670,58.0,40,1
536671,136.2,132,5
536672,127.2,40,4
536673,339.84,504,8
536674,127.08,122,21
536676,207.5,54,9
536681,113.92,46,13
536685,380.46,108,17
536688,22.2,12,2
536690,331.26,92,17
536693,22.2,12,2
536698,326.0,144,16
536707,199.65,41,13
536732,354.54,274,26
536733,329.65,255,14
536735,211.2,128,1
536736,824.88,1296,5
536738,98.18,42,7
536739,201.75,31,12
536740,92.75,67,7
536741,202.12,130,15
536742,196.43,102,49
536743,261.76,195,35
536744,379.75,137,10
536745,341.90000000000003,126,10
536746,248.1,92,13
536747,100.2,75,12
536748,116.0,26,5
536749,321.79,93,57
536750,434.8,118,19
536751,22.2,12,2
536752,390.66,104,19
536753,22.2,12,2
536754,210.24,142,50
536755,54.25,15,15
536756,66.65,23,19
536759,311.25,113,17
536761,98.9,36,7
536762,307.68,231,20
536763,452.52,331,12
536769,668.4,375,31
536771,118.38,66,7
536777,138.1,97,5
536778,193.23,125,14
536779,15.0,1,1
