ProductA,ProductB,PairCount,ProductACount,ProductBCount,PairSupport,Confidence_A_to_B,Confidence_B_to_A,Lift
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,825,1206,2054,0.06384460609812723,0.6840796019900498,0.40165530671859784,4.3036400277095535
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,767,1007,1049,0.059356136820925554,0.7616683217477657,0.7311725452812202,9.382533892873811
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,724,2054,1180,0.05602847856368983,0.3524829600778968,0.6135593220338983,3.8599871272259176
JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,680,2054,1168,0.052623432905123044,0.3310613437195716,0.5821917808219178,3.6626495578290275
LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN ,655,1555,1279,0.05068874787184646,0.4212218649517685,0.5121188428459734,4.255691117206218
LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,641,1259,1555,0.049605324253211576,0.5091342335186656,0.4122186495176849,4.230889109664436
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,640,965,1038,0.04952793685188051,0.6632124352331606,0.6165703275529865,8.256291992372738
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,632,1007,755,0.04890883764123201,0.6276067527308838,0.8370860927152318,10.741635044752956
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,606,1085,1555,0.04689676520662436,0.5585253456221199,0.3897106109324759,4.641327663105488
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,598,755,1049,0.04627766599597585,0.7920529801324503,0.5700667302192565,9.75682422237514
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,585,923,2054,0.04527162977867203,0.6338028169014085,0.2848101265822785,3.987341772151899
LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI DESIGN ,584,1259,1279,0.04519424237734097,0.46386020651310567,0.45660672400312746,4.686475049696912
JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,579,2054,1555,0.044807305370685654,0.2818889970788705,0.3723472668810289,2.342488501770524
JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE DOILY ,577,2054,1211,0.04465253056802353,0.2809152872444012,0.4764657308009909,2.997512255798639
LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN ,560,1555,1149,0.04333694474539545,0.36012861736334406,0.48738033072236725,4.050114876909602
LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,555,1145,1555,0.04295000773874013,0.4847161572052402,0.35691318327974275,4.027975680647018
PAPER CHAIN KIT 50'S CHRISTMAS ,PAPER CHAIN KIT VINTAGE CHRISTMAS,552,1090,799,0.042717845534746945,0.5064220183486239,0.690863579474343,8.190219425658219
GARDENERS KNEELING PAD CUP OF TEA ,GARDENERS KNEELING PAD KEEP CALM ,546,748,905,0.04225352112676056,0.7299465240641712,0.6033149171270719,10.422507164593613
JUMBO BAG APPLES,JUMBO BAG RED RETROSPOT,546,969,2054,0.04225352112676056,0.5634674922600619,0.26582278481012656,3.544852451306972
LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT,544,1259,1085,0.042098746324098435,0.43208895949166004,0.5013824884792627,5.1460401240103515
JUMBO BAG RED RETROSPOT,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,541,2054,797,0.041866584120105244,0.26338851022395326,0.6787954830614805,4.27039689976653
WOODEN FRAME ANTIQUE WHITE ,WOODEN PICTURE FRAME WHITE FINISH,539,943,1084,0.04171180931744312,0.5715800636267232,0.49723247232472323,6.813614005705275
LUNCH BAG CARS BLUE,LUNCH BAG SUKI DESIGN ,539,1145,1279,0.04171180931744312,0.4707423580786026,0.4214229867083659,4.756006842135812
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX ,538,848,896,0.04163442191611206,0.6344339622641509,0.6004464285714286,9.149727299528303
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,536,2054,818,0.04147964711344993,0.2609542356377799,0.6552567237163814,4.122311287177742
JUMBO BAG RED RETROSPOT,JUMBO BAG WOODLAND ANIMALS,535,2054,858,0.04140225971211887,0.26046738072054526,0.6235431235431236,3.9227966126700307
LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG SUKI DESIGN ,533,1149,1279,0.04124748490945674,0.463881636205396,0.41673182173573103,4.686691558284697
LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,526,1555,1011,0.0407057731001393,0.3382636655948553,0.5202769535113749,4.323484754517033
REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER ,525,1851,1049,0.040628385698808236,0.28363047001620745,0.5004766444232602,3.4938731492368285
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,524,1168,1180,0.04055099829747717,0.4486301369863014,0.4440677966101695,4.912880195031345
LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,522,1259,1145,0.040396223494815045,0.414614773629865,0.4558951965065502,4.6791721439695335
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,522,739,1028,0.040396223494815045,0.706359945872801,0.5077821011673151,8.878972004443908
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT,518,864,2054,0.04008667388949079,0.5995370370370371,0.25219084712755596,3.7717709798406003
JUMBO BAG VINTAGE DOILY ,JUMBO BAG VINTAGE LEAF,516,1211,873,0.03993189908682866,0.42609413707679605,0.5910652920962199,6.306974157281052
