StockCode,ProductDescription,TotalRevenue,TotalQuantity,InvoiceCount,RevenueRank,QuantityRank,InvoiceRank
10002,INFLATABLE POLITICAL GLOBE ,759.89,860,71,1861.0,1363.5,1876.0
10080,GROOVY CACTUS INFLATABLE,119.08999999999999,303,22,2971.0,2090.0,2761.5
10120,DOGGY RUBBER,40.32,192,29,3381.0,2366.5,2577.0
10123C,HEARTS WRAPPING TAPE ,3.25,5,3,3867.0,3653.0,3589.0
10124A,SPOTS ON RED BOOKCOVER TAPE,6.72,16,5,3784.5,3361.5,3437.0
10124G,ARMY CAMO BOOKCOVER TAPE,7.14,17,4,3778.0,3344.0,3506.0
10125,MINI FUNKY DESIGN TAPES,993.99,1295,91,1639.0,1037.5,1618.0
10133,COLOURING PENCILS BROWN TUBE,1539.6,2856,196,1281.0,484.0,835.0
10135,COLOURING PENCILS BROWN TUBE,2204.89,2229,175,985.0,638.0,924.0
11001,ASSTD DESIGN RACING CAR PEN,2389.44,1615,113,930.0,883.0,1387.0
15030,FAN BLACK FRAME ,41.47,143,12,3365.0,2524.5,3077.0
15034,PAPER POCKET TRAVELING FAN ,840.0200000000001,6591,138,1774.0,172.0,1176.0
15036,ASSORTED COLOURS SILK FAN,18569.84,23826,518,99.0,14.0,177.0
15039,SANDALWOOD FAN,1978.6399999999999,2090,145,1080.0,681.0,1122.5
15044A,PINK PAPER PARASOL ,1439.0200000000002,458,102,1330.0,1826.5,1502.5
15044B,BLUE PAPER PARASOL ,946.83,321,60,1681.0,2053.5,2021.0
15044C,PURPLE PAPER PARASOL,1022.9900000000001,313,88,1612.0,2068.0,1657.5
15044D,RED PAPER PARASOL,1819.76,644,84,1139.0,1578.0,1699.0
15056BL,EDWARDIAN PARASOL BLACK,15828.84,2844,321,127.0,488.0,433.0
15056N,EDWARDIAN PARASOL NATURAL,22152.690000000002,3950,456,74.0,340.0,223.5
15056P,EDWARDIAN PARASOL PINK,4354.92,776,144,577.0,1454.0,1129.5
15056bl,EDWARDIAN PARASOL BLACK,1086.88,87,62,1562.0,2743.5,1993.0
15056n,EDWARDIAN PARASOL NATURAL,1585.2800000000002,127,84,1251.0,2581.0,1699.0
15056p,EDWARDIAN PARASOL PINK,412.48,33,26,2341.0,3124.0,2655.5
15058A,BLUE POLKADOT GARDEN PARASOL,1668.49,200,89,1202.0,2330.5,1642.0
15058B,PINK POLKADOT GARDEN PARASOL,1885.27,228,97,1111.0,2252.5,1570.5
15058C,ICE CREAM DESIGN GARDEN PARASOL,1429.82,240,72,1334.0,2230.0,1864.0
15060B,FAIRY CAKE DESIGN UMBRELLA,1807.55,451,131,1143.0,1836.0,1244.0
15060b,FAIRY CAKE DESIGN UMBRELLA,24.869999999999997,3,3,3522.0,3743.0,3589.0
16008,SMALL FOLDING SCISSOR(POINTED EDGE),360.71,2892,70,2414.5,478.0,1889.0
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.5999999999999996,30,3,3854.0,3156.5,3589.0
16011,ANIMAL STICKERS,367.29,1749,46,2405.0,827.0,2225.5
16012,FOOD/DRINK SPONGE STICKERS,256.2,1220,35,2606.0,1090.5,2439.0
16014,SMALL CHINESE STYLE SCISSOR,4335.76,13328,54,579.0,43.0,2095.5
16015,MEDIUM CHINESE STYLE SCISSOR,289.98,662,24,2532.0,1556.5,2715.5
16016,LARGE CHINESE STYLE SCISSOR,1053.45,1273,65,1588.0,1052.5,1952.5
16020C,CLEAR STATIONERY BOX SET ,69.89999999999999,84,17,3173.0,2757.5,2907.5
16033,MINI HIGHLIGHTER PENS,100.80000000000001,840,4,3037.0,1382.5,3506.0
16043,POP ART PUSH DOWN RUBBER ,11.759999999999998,98,2,3700.0,2689.5,3698.0
16045,POPART WOODEN PENCILS ASST,380.0,8900,68,2388.0,102.0,1916.5
16046,TEATIME PEN CASE & PENS,55.24999999999999,65,14,3265.0,2873.0,3006.0
16048,TEATIME ROUND PENCIL SHARPENER ,205.29999999999998,1460,67,2706.0,945.0,1928.0
16049,TEATIME GEL PENS ASST,82.08,504,5,3112.0,1753.5,3437.0
16052,TEATIME PUSH DOWN RUBBER,115.3,479,13,2985.0,1786.0,3043.5
16054,POPART RECT PENCIL SHARPENER ASST,140.52,1166,33,2897.0,1126.5,2486.0
16151A,FLOWERS HANDBAG blue and orange,61.25,49,3,3229.0,2985.5,3589.0
16156L,WRAP CAROUSEL,199.5,475,18,2721.5,1794.0,2879.5
