ProductA,ProductB,PairCount,ProductACount,ProductBCount,PairSupport,Confidence_A_to_B,Confidence_B_to_A,Lift
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,632,1007,755,0.04890883764123201,0.6276067527308838,0.8370860927152318,10.741635044752956
GARDENERS KNEELING PAD CUP OF TEA ,GARDENERS KNEELING PAD KEEP CALM ,546,748,905,0.04225352112676056,0.7299465240641712,0.6033149171270719,10.422507164593613
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,598,755,1049,0.04627766599597585,0.7920529801324503,0.5700667302192565,9.75682422237514
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,767,1007,1049,0.059356136820925554,0.7616683217477657,0.7311725452812202,9.382533892873811
CHARLOTTE BAG PINK POLKADOT,STRAWBERRY CHARLOTTE BAG,379,739,720,0.029329825104472993,0.5128552097428958,0.5263888888888889,9.20432641708014
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX ,538,848,896,0.04163442191611206,0.6344339622641509,0.6004464285714286,9.149727299528303
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,522,739,1028,0.040396223494815045,0.706359945872801,0.5077821011673151,8.878972004443908
STRAWBERRY CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,406,720,827,0.0314192849404117,0.5638888888888889,0.4909310761789601,8.810849119978503
SET OF 3 BUTTERFLY COOKIE CUTTERS,SET OF 3 HEART COOKIE CUTTERS,311,678,673,0.02406748181396069,0.45870206489675514,0.462109955423477,8.807352277259838
CHARLOTTE BAG SUKI DESIGN,STRAWBERRY CHARLOTTE BAG,415,869,720,0.03211577155239127,0.47756041426927504,0.5763888888888888,8.570882879427185
RED RETROSPOT CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,486,1028,720,0.03761027704689676,0.4727626459143969,0.675,8.48477626459144
CHARLOTTE BAG PINK POLKADOT,WOODLAND CHARLOTTE BAG,395,739,827,0.030568023525770004,0.5345060893098782,0.47762998790810157,8.35173843538361
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,640,965,1038,0.04952793685188051,0.6632124352331606,0.6165703275529865,8.256291992372738
